accelerometer,gyroscope,overall_angle,time
"{'x': 0.3854664672851562, 'y': 3.385401147460937, 'z': 7.900865478515625}","{'x': 0.1984732824427481, 'y': -0.4351145038167939, 'z': -1.2900763358778626}",31.8,2025-04-25 20:51:19.235377
"{'x': 0.33039982910156246, 'y': 3.414131567382812, 'z': 7.8912886718749995}","{'x': 0.22137404580152673, 'y': -0.4580152671755725, 'z': -1.099236641221374}",31.8,2025-04-25 20:51:29.242515
"{'x': 0.39264907226562495, 'y': 3.4356793823242184, 'z': 7.951143713378905}","{'x': 0.2824427480916031, 'y': -0.366412213740458, 'z': -1.099236641221374}",31.8,2025-04-25 20:51:39.251452
"{'x': 0.41419688720703124, 'y': 3.4165257690429685, 'z': 7.841010437011718}","{'x': 0.2900763358778626, 'y': -0.45038167938931295, 'z': -1.015267175572519}",31.9,2025-04-25 20:51:49.259600
"{'x': 0.4261678955078125, 'y': 3.438073583984375, 'z': 7.900865478515625}","{'x': 0.15267175572519084, 'y': -0.37404580152671757, 'z': -1.0763358778625953}",31.9,2025-04-25 20:51:59.275997
"{'x': 0.3711012573242187, 'y': 3.392583752441406, 'z': 7.960720520019531}","{'x': 0.16030534351145037, 'y': -0.29770992366412213, 'z': -1.3740458015267176}",31.8,2025-04-25 20:52:09.282388
"{'x': 0.3495534423828125, 'y': 3.418919970703125, 'z': 7.958326318359375}","{'x': 0.1984732824427481, 'y': -0.33587786259541985, 'z': -1.1450381679389312}",31.8,2025-04-25 20:52:19.288663
"{'x': 0.3854664672851562, 'y': 3.4069489624023435, 'z': 7.850587243652344}","{'x': 0.07633587786259542, 'y': -0.648854961832061, 'z': -1.0381679389312977}",31.8,2025-04-25 20:52:29.297410
"{'x': 0.36152445068359373, 'y': 3.3877953491210935, 'z': 7.951143713378905}","{'x': 0.25190839694656486, 'y': -0.5114503816793893, 'z': -1.1374045801526718}",31.9,2025-04-25 20:52:39.305688
"{'x': 0.39983167724609375, 'y': 3.366247534179687, 'z': 7.905653881835937}","{'x': 0.07633587786259542, 'y': -0.5190839694656488, 'z': -1.2748091603053435}",31.8,2025-04-25 20:52:49.315394
