time,temp,pres,hum,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle
2025-04-25 23:03:11.972078,32.68333435058594,1014.28857421875,37.5070686340332,0.012364741414785385,-0.5367276072502136,0.8232079744338989,-0.0012774541974067688,-0.000874081626534462,0.0006585568189620972,32.4
2025-04-25 23:03:14.004942,32.62916946411133,1014.27099609375,37.519134521484375,0.010667620226740837,-0.5360038876533508,0.822476863861084,0.0063576772809028625,0.01134208682924509,-0.015222255140542984,32.4
2025-04-25 23:03:16.048940,32.57500076293945,1014.29345703125,36.74368667602539,0.008970499038696289,-0.5388986468315125,0.8185777068138123,-0.0006671100854873657,-0.001485680229961872,0.004935700446367264,32.7
2025-04-25 23:03:18.089360,32.61111068725586,1014.294677734375,37.7303466796875,0.012122295796871185,-0.5393810868263245,0.8215020895004272,0.00666268914937973,0.0006523160263895988,-0.002394154667854309,32.6
2025-04-25 23:03:20.136861,32.62916946411133,1014.30859375,37.53723907470703,0.011152512393891811,-0.5374512672424316,0.8205273151397705,0.006973981857299805,-0.002401837147772312,-0.00025595352053642273,32.6
2025-04-25 23:03:22.184839,32.64722442626953,1014.30908203125,37.796730041503906,0.011152512393891811,-0.5396223068237305,0.8227205872535706,0.0005597025156021118,-0.003012528643012047,0.000660337507724762,32.6
2025-04-25 23:03:24.219372,32.520835876464844,1014.29638671875,37.57948303222656,0.018183445557951927,-0.5632624626159668,0.8448969721794128,0.07294918596744537,0.02814282663166523,-0.012472961097955704,33.0
2025-04-25 23:03:26.249802,32.520835876464844,1014.300048828125,37.335079193115234,0.011394958011806011,-0.5381749868392944,0.8219894766807556,0.001477569341659546,0.0003485279157757759,0.0034091398119926453,32.6
2025-04-25 23:03:28.281059,32.55694580078125,1014.30859375,37.642845153808594,0.01260718796402216,-0.5364863872528076,0.8207710385322571,0.003003843128681183,0.00034859776496887207,0.0009656473994255066,32.5
2025-04-25 23:03:30.312057,32.53889083862305,1014.286376953125,37.633792877197266,0.011637403629720211,-0.5381749868392944,0.8197962045669556,0.004224963486194611,4.328601062297821e-05,0.001576349139213562,32.6
