accelerometer,gyroscope,overall_angle,time
"{'x': 5.051765502929687, 'y': 0.22505495605468748, 'z': 7.436390356445312}","{'x': -1.1221374045801527, 'y': -0.2595419847328244, 'z': -1.0458015267175573}",1.024393037596442,2025-04-17 15:46:42.119914
"{'x': 4.936843823242187, 'y': 0.0383072265625, 'z': 7.491456994628906}","{'x': -1.0, 'y': -0.3435114503816794, 'z': -0.9923664122137404}",2.028069145326603,2025-04-17 15:46:52.135930
"{'x': 5.070919116210937, 'y': 0.5770026000976562, 'z': 7.228094812011718}","{'x': 1.015267175572519, 'y': 0.0916030534351145, 'z': -1.6106870229007633}",2.3371343059366585,2025-04-17 15:47:02.144862
"{'x': 5.049371301269531, 'y': 0.076614453125, 'z': 7.316680273437499}","{'x': -1.1603053435114503, 'y': 0.3282442748091603, 'z': -1.0763358778625953}",2.9654880487814568,2025-04-17 15:47:12.151416
"{'x': 5.204994409179688, 'y': 0.18435352783203124, 'z': 7.326257080078125}","{'x': -1.0534351145038168, 'y': -0.31297709923664124, 'z': -0.9923664122137404}",3.9428644155753867,2025-04-17 15:47:22.167203
"{'x': 5.0182466796875, 'y': 0.1292868896484375, 'z': 7.501033801269531}","{'x': -1.0763358778625953, 'y': -0.2366412213740458, 'z': -1.0076335877862594}",4.848520329534206,2025-04-17 15:47:32.182894
"{'x': 5.073313317871094, 'y': 0.1388636962890625, 'z': 7.426813549804687}","{'x': -1.1297709923664123, 'y': -0.2748091603053435, 'z': -1.2061068702290076}",5.783551628917852,2025-04-17 15:47:42.189590
"{'x': 5.1140147460937495, 'y': 0.1197100830078125, 'z': 7.48906279296875}","{'x': -1.015267175572519, 'y': -0.1450381679389313, 'z': -1.099236641221374}",6.609133465759441,2025-04-17 15:47:52.204962
"{'x': 5.145139367675781, 'y': 0.14604630126953125, 'z': 7.395688928222656}","{'x': -1.1221374045801527, 'y': -0.44274809160305345, 'z': -0.9007633587786259}",7.601135463625481,2025-04-17 15:48:02.211658
accelerometer,gyroscope,overall_angle,time
"{'x': 5.288791467285156, 'y': 0.22744915771484372, 'z': 7.280767248535156}","{'x': -1.3053435114503817, 'y': 1.297709923664122, 'z': -0.9770992366412213}",0.7040495462634015,2025-04-17 15:48:27.429222
"{'x': 4.908113403320312, 'y': 0.2154781494140625, 'z': 7.472303381347656}","{'x': -1.1603053435114503, 'y': -1.9389312977099236, 'z': -0.8015267175572519}",2.1847752727981953,2025-04-17 15:48:37.435635
"{'x': 4.740519287109374, 'y': -0.27293898925781246, 'z': 7.611167077636718}","{'x': -0.9541984732824428, 'y': -0.29770992366412213, 'z': -1.0}",3.1276773865783016,2025-04-17 15:48:47.441984
"{'x': 4.817133740234374, 'y': -0.33039982910156246, 'z': 7.517793212890624}","{'x': -1.1526717557251909, 'y': -0.22137404580152673, 'z': -0.9923664122137404}",4.100735483516926,2025-04-17 15:48:57.448325
"{'x': 4.860229370117187, 'y': -0.33758243408203126, 'z': 7.539341027832031}","{'x': -1.1755725190839694, 'y': -0.10687022900763359, 'z': -1.0381679389312977}",5.01646195113109,2025-04-17 15:49:07.454658
"{'x': 4.896142395019531, 'y': -0.33518823242187495, 'z': 7.513004809570312}","{'x': -1.2595419847328244, 'y': -0.2366412213740458, 'z': -1.0763358778625953}",6.006040717216666,2025-04-17 15:49:17.461004
"{'x': 4.800374328613281, 'y': -0.34237083740234375, 'z': 7.563283044433593}","{'x': -1.0610687022900764, 'y': -0.09923664122137404, 'z': -1.1755725190839694}",6.835776234721423,2025-04-17 15:49:27.467333
"{'x': 5.011064074707031, 'y': 0.2657563842773437, 'z': 7.493851196289062}","{'x': -0.1450381679389313, 'y': -0.06870229007633588, 'z': -0.022900763358778626}",7.2872141631024805,2025-04-17 15:49:37.473739
